Water
6.120000000000000284e+01
6.139999999999999858e+01
6.020000000000000284e+01
6.120000000000000284e+01
6.129999999999999716e+01
6.039999999999999858e+01
6.139999999999999858e+01
6.079999999999999716e+01
6.120000000000000284e+01
6.060000000000000142e+01
6.160000000000000142e+01
6.020000000000000284e+01
6.129999999999999716e+01
6.029999999999999716e+01
6.070000000000000284e+01
6.089999999999999858e+01
6.120000000000000284e+01
6.050000000000000000e+01
6.100000000000000000e+01
6.139999999999999858e+01
6.110000000000000142e+01
6.089999999999999858e+01
6.150000000000000000e+01
6.139999999999999858e+01
6.060000000000000142e+01
6.120000000000000284e+01
6.010000000000000142e+01
6.129999999999999716e+01
6.110000000000000142e+01
6.129999999999999716e+01
6.029999999999999716e+01
6.129999999999999716e+01
6.060000000000000142e+01
6.170000000000000284e+01
6.060000000000000142e+01
6.120000000000000284e+01
6.079999999999999716e+01
6.129999999999999716e+01
6.100000000000000000e+01
6.120000000000000284e+01
6.050000000000000000e+01
6.139999999999999858e+01
6.070000000000000284e+01
6.129999999999999716e+01
6.089999999999999858e+01
6.120000000000000284e+01
6.110000000000000142e+01
6.129999999999999716e+01
6.089999999999999858e+01
6.139999999999999858e+01
6.070000000000000284e+01
6.120000000000000284e+01
6.029999999999999716e+01
6.110000000000000142e+01
6.100000000000000000e+01
6.150000000000000000e+01
6.129999999999999716e+01
6.189999999999999858e+01
6.139999999999999858e+01
6.129999999999999716e+01
6.160000000000000142e+01
6.100000000000000000e+01
6.170000000000000284e+01
6.110000000000000142e+01
6.089999999999999858e+01
6.150000000000000000e+01
6.160000000000000142e+01
6.139999999999999858e+01
6.150000000000000000e+01
6.120000000000000284e+01
6.160000000000000142e+01
6.129999999999999716e+01
6.179999999999999716e+01
6.110000000000000142e+01
6.170000000000000284e+01
6.089999999999999858e+01
6.220000000000000284e+01
6.110000000000000142e+01
6.210000000000000142e+01
6.100000000000000000e+01
6.150000000000000000e+01
6.170000000000000284e+01
6.229999999999999716e+01
6.229999999999999716e+01
6.170000000000000284e+01
6.289999999999999858e+01
6.250000000000000000e+01
6.279999999999999716e+01
6.260000000000000142e+01
6.150000000000000000e+01
6.210000000000000142e+01
6.260000000000000142e+01
6.160000000000000142e+01
6.250000000000000000e+01
6.239999999999999858e+01
6.229999999999999716e+01
6.210000000000000142e+01
6.229999999999999716e+01
6.220000000000000284e+01
6.210000000000000142e+01
